name,url,image,audience score,price,pace,arch support,weight lab weight brand,lightweight,drop lab drop brand,strike pattern,midsole softness,difference in midsole softness in cold,toebox durability,heel padding durability,outsole durability,breathability,heel stack,forefoot stack,drop,flexibility / stiffness (new method),flexibility / stiffness (old method),brand,audience_score,price_usd,drop_mm,weight,weight_grams,trail terrain,heel stack lab heel stack brand,midsole width - forefoot,midsole width - heel,outsole thickness,weight (g),drop (mm),flexibility of the shoe (n),flexibility of the shoe (freezer 20 min) (n),flexibility of the shoe (% of change),"longitudinal flexibility (1-5 scale, 5 being the stiffest)","torsional flexibility (1-5 scale, 5 being the stiffest)",flexibility of the shoe (freezer 1 hour) (n),"longitudinal flexibility (on a 0-5 scale, 0 being the stiffest)","torsional flexibility (on a 0-5 scale, 0 being the stiffest)",agility and responsiveness,outsole hardness,fuelcell supercomp pacer v2
Hoka Kawana 2,https://runrepeat.com/hoka-kawana-2,https://cdn.runrepeat.com/storage/gallery/product_primary/40321/hoka-kawana-2-21446881-720.jpg,85 Good!,$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,✗,5.2 mm 5.0 mm,Mid/forefoot,21.1 HA,Normal,Decent,Good,Good,Moderate,33.2 mm,28.0 mm,5.2 mm,17.4N,24.7N,HOKA,85,140.0,5.2,,,,,,,,,,,,,,,,,,,,
Altra Escalante 4,https://runrepeat.com/altra-escalante-4,https://cdn.runrepeat.com/storage/gallery/product_primary/40375/altra-escalante-4-21564282-720.jpg,85 Good!,$130,Daily running,Neutral,8.4 oz / 237g 9.5 oz / 269g,✓,1.4 mm 0.0 mm,Mid/forefoot,27.8 HA,Normal,Good,Good,Good,Moderate,23.8 mm,22.4 mm,1.4 mm,8.2N,16.0N,Altra,85,130.0,1.4,,,,,,,,,,,,,,,,,,,,
Puma MagMax Nitro,https://runrepeat.com/puma-magmax-nitro,https://cdn.runrepeat.com/storage/gallery/product_primary/40493/puma-mag-max-nitro-22077088-720.jpg,91 Superb!,$180,Daily running,Neutral,10.3 oz / 291g 10.3 oz / 292g,,9.6 mm 8.0 mm,HeelMid/forefoot,18.3 HA,Big,Decent,Decent,Decent,Moderate,42.9 mm,33.3 mm,9.6 mm,17.9N,31.5N,PUMA,91,180.0,9.6,10.3 oz (291g),291.0,,,,,,,,,,,,,,,,,,
PUMA Deviate Nitro,https://runrepeat.com/puma-deviate-nitro,https://cdn.runrepeat.com/storage/gallery/product_primary/36961/puma-deviate-nitro-hero-2-15915096-720.jpg,91 Superb!,$160,Tempo,Neutral,9 oz / 256g 9.1 oz / 258g,,8.4 mm 10.0 mm,HeelMid/forefoot,-,-,-,-,-,-,35.7 mm,27.3 mm,8.4 mm,,,PUMA,91,160.0,8.4,9.0 oz (256g),256.0,,,108.0 mm,85.5 mm,4.5 mm,,,,,,,,,,,,,
Allbirds Tree Dasher,https://runrepeat.com/allbirds-tree-dasher,https://cdn.runrepeat.com/storage/gallery/product_primary/38003/allbirds-tree-dasher-21177883-720.jpg,91 Superb!,$125,Daily running,Neutral,10.6 oz / 301g 10.2 oz / 289g,✗,6.0 mm 7.0 mm,Mid/forefoot,26.4 HA,Normal,-,-,-,Breathable,29.4 mm,23.4 mm,6.0 mm,,30.0N,Allbirds,91,125.0,6.0,10.6 oz (301g),301.0,,,,,,,,,,,,,,,,,,
ASICS Noosa Tri 14,https://runrepeat.com/asics-noosa-tri-14,https://cdn.runrepeat.com/storage/gallery/product_primary/38631/asics-noosa-tri-14-21232022-720.jpg,93 Superb!,$130,Daily runningTempo,Neutral,7.5 oz / 213g 9.2 oz / 260g,✓,8.0 mm 5.0 mm,HeelMid/forefoot,12.0 HA,SmallNormal,-,-,-,Moderate,30.2 mm,22.2 mm,8.0 mm,,25.0N,ASICS,93,130.0,8.0,7.5 oz (213g),213.0,,,,,,,,,,,,,,,,,,
NNormal Kjerag,https://runrepeat.com/n-normal-kjerag,https://cdn.runrepeat.com/storage/gallery/product_primary/40512/n-normal-kjerag-22198619-720.jpg,93 Superb!,$195,,Neutral,7.5 oz / 214g 7.1 oz / 200g,✓,8.6 mm 6.0 mm,Mid/forefoot,20.6 HA,Normal,Decent,Decent,Decent,Warm,25.0 mm,16.4 mm,8.6 mm,6.3N,,NNormal,93,195.0,8.6,,,Light,25.0 mm 23.5 mm,,,,,,,,,,,,,,,,
Nike Vomero Premium,https://runrepeat.com/nike-vomero-premium,https://cdn.runrepeat.com/storage/gallery/product_primary/41011/nike-vomero-premium-23709495-720.jpg,N/A,$230,Daily running,Neutral,11.5 oz / 326g 12.4 oz / 351g,,8.8 mm 10.0 mm,HeelMid/forefoot,15.9 HA,Small,Decent,Good,Good,3,50.1 mm,41.3 mm,8.8 mm,21.5N,,Nike,N/A,230.0,8.8,11.5 oz (326g),326.0,,,,,,,,,,,,,,,,,,
On Cloudeclipse,https://runrepeat.com/on-cloudeclipse,https://cdn.runrepeat.com/storage/gallery/product_primary/40235/on-cloudeclipse-21216738-720.jpg,91 Superb!,$180,Daily running,Neutral,9.6 oz / 272g 9.7 oz / 275g,✗,9.4 mm 6.0 mm,HeelMid/forefoot,27.3 HA,Small,Decent,Bad,Good,Moderate,39.9 mm,30.5 mm,9.4 mm,18.1N,28.0N,On,91,180.0,9.4,,,,,,,,,,,,,,,,,,,,
On Cloudswift,https://runrepeat.com/on-cloudswift,https://cdn.runrepeat.com/storage/gallery/product_primary/31051/on-cloudswift-20-hero-2-15915095-720.jpg,89 Great!,$150,Daily running,Neutral,9.9 oz / 281g 9.9 oz / 280g,,11.6 mm 7.0 mm,Heel,-,-,-,-,-,-,33.9 mm,22.3 mm,11.6 mm,,,On,89,150.0,11.6,9.9 oz (281g),281.0,,,112.2 mm,91.1 mm,2.3 mm,,,,,,,,,,,,,
